Location or Partner,Borough,On Street,From Street,To Street,Type,Open Date,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Sunday_Start,Sunday_End,Day of Week,Status,Cool Streets
Jamaica,Queens,107th Avenue,159th Street,160th Street,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Jamaica,Queens,108th Avenue,159th Street,160th Street,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Jamaica,Queens,109th Avenue,159th Street,160th Street,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
South Richmond Hill,Queens,120th Street,94th Avenue,101st Avenue,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Baisley Pond Park,Queens,122nd Avenue,Lakeview Boulevard East,Lakeview Lane,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Baisley Pond Park,Queens,155th Street,119th Avenue,125th Avenue,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Jamaica,Queens,159th Street,108th Avenue,109th Avenue,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Jamaica Hills,Queens,165th Street,Chapin Parkway,85th Avenue,Temporary Limited Local Access,2020-06-25T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Plaut Triangle,Queens,169th Street,Northern Boulevard,43rd Avenue,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Carroll Gardens,Brooklyn,1st Place,Smith Street,Henry Street,Temporary Limited Local Access,2020-05-14T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Friends of Diversity Plaza,Queens,37th Road,75th Street,74th Street,Temporary Full Closure,2020-08-14T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,"F,S,U",Inactive,
Sunset Park,Brooklyn,21st Street,3rd Avenue,7th Avenue,Temporary Limited Local Access,2020-06-25T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Sunset Park Business Improvement District,Brooklyn,5th Avenue,40th Street,41st Street,Temporary Full Closure,2020-07-17T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,"F,S,U",inactive,
Sunset Park Business Improvement District,Brooklyn,5th Avenue,45th Street,47th Street,Temporary Full Closure,2020-07-31T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:00PM,11:00PM,N/A,N/A,S,Active,
Park Slope 5th Avenue Business Improvement District,Brooklyn,5th Avenue,9th Street,5th Street,Temporary Full Closure,2020-10-02T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:00PM,11:00PM,N/A,N/A,S,inactive,
31st Ave Open Street Collective,Queens,31st Avenue,33rd Street,35th Street,Temporary Full Closure,2020-07-24T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:00PM,11:00PM,12:00PM,11:00PM,"S,U",Active,
Central Astoria Local Development Corportation,Queens,32nd Street,30th Avenue,Newtown Avenue,Temporary Limited Local Access,2020-06-25T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,"F,S,U",Inactive,
34th Ave Open Streets Coalition,Queens,34th Avenue,69th Street,78th Street,Temporary Limited Local Access,2020-05-07T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
34th Ave Open Streets Coalition,Queens,34th Avenue,78th Street,Junction Boulevard,Temporary Limited Local Access,2020-05-14T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Fresh Air Fund,Queens,34th Avenue,72nd Street,74th Street,Open Streets Play,2020-07-24T00:00:00.000,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W,R",inactive,
Fresh Air Fund,Queens,34th Avenue,79th Street,80th Street,Open Streets Play,2020-07-24T00:00:00.000,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W,R",inactive,
Fresh Air Fund,Queens,34th Avenue,92nd Street,94th Street,Open Streets Play,2020-07-24T00:00:00.000,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W,R",inactive,
Crocheron Park,Queens,35th Avenue,Corbett Road,Dead End,Temporary Limited Local Access,2020-06-25T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Park Slope 5th Avenue Business Improvement District,Brooklyn,5th Avenue,8th Street,5th Street,Temporary Full Closure,2020-10-02T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:00PM,11:00PM,N/A,N/A,S,inactive,
Forest Hills Chamber of Commerce,Queens,70th Road,Austin Street,Queens Boulevard,Temporary Full Closure,2020-07-17T00:00:00.000,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,10:00AM,11:00PM,ALL,Inactive,
Dome Playground,Brooklyn,38th Street,Dahill Road,15th Avenue,Temporary Limited Local Access,2020-05-14T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Sunnyside Woodside Open Streets,Queens,39th Avenue,45th Street,Woodside Avenue,Temporary Limited Local Access,2020-05-14T00:00:00.000,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,ALL,Active,
Bayside Village Business Improvement District,Queens,41st Avenue,Bell Boulevard,214th Place,Temporary Full Closure,2021-03-12T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:30PM,11:00PM,N/A,N/A,N/A,N/A,F,Active,
Third Avenue Business Improvement District,Bronx,Alexander Avenue,Bruckner Boulevard,East 134th Street,Temporary Full Closure,2020-08-14T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,2:00PM,8:00PM,2:00PM,8:00PM,11:00AM,8:00PM,N/A,N/A,"R,F,S",Active,
39th Avenue Open Streets Coalition,Queens,47th Street,39th Avenue,Skillman Avenue,Temporary Limited Local Access,2020-07-24T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Inactive,
39th Avenue Open Streets Coalition,Queens,49th Street,39th Avenue,Skillman Avenue,Temporary Limited Local Access,2020-07-24T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Inactive,
Carroll Gardens,Brooklyn,4th Place,Smith Street,Henry Street,Temporary Limited Local Access,2020-05-14T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Park Slope 5th Avenue Business Improvement District,Brooklyn,4th Street,5th Avenue,4th Avenue,Temporary Limited Local Access,2020-05-14T00:00:00.000,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,N/A,N/A,"M,T,W,R,F,S",Active,
Columbus Amsterdam Business Improvement District,Manhattan,Amsterdam Avenue,West 97th Street,West 110th Street,Temporary Full Closure,2020-07-31T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,8:30PM,11:00AM,8:30PM,"S,U",inactive,
Park Slope 5th Avenue Business Improvement District,Brooklyn,5th Avenue,Dean Street,Park Place,Temporary Full Closure,2021-03-13T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,10:30PM,11:00AM,10:00PM,"S,U",Active,
Park Slope 5th Avenue Business Improvement District,Brooklyn,5th Avenue,President Street,5th Street,Temporary Full Closure,2021-03-13T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,10:30PM,11:00AM,10:00PM,"S,U",Active,
Park Slope 5th Avenue Business Improvement District,Brooklyn,5th Avenue,10th Street,13th Street,Temporary Full Closure,2021-03-13T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,10:30PM,11:00AM,10:00PM,"S,U",Active,
DUMBO Business Improvement District,Brooklyn,Anchorage Place,Water Street,Pearl Street,Temporary Full Closure,2020-07-03T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,"F,S,U",inactive,Y
Belmont Business Improvement District,Bronx,Arthur Avenue,East 187th Street,Crescent Avenue,Temporary Full Closure,2021-04-30T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6:00PM,10:00PM,6:00PM,10:00PM,1:00PM,9:00PM,"F,S,U",Active,
Park Slope 5th Avenue Business Improvement District,Brooklyn,5th Avenue,Sterling Place,Berkely Place,Temporary Full Closure,2021-03-13T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,10:30PM,11:00AM,10:00PM,"S,U",Active,
Forest Hills Chamber of Commerce,Queens,Austin Street,72nd Avenue,72nd Road,Temporary Full Closure,2020-07-17T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,"F,S,U",inactive,
Poco,Manhattan,Avenue B,East 2nd Street,East 3rd Street,Temporary Full Closure,2020-07-17T00:00:00.000,N/A,N/A,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,"T,R,W,F,S,U",inactive,
Central Park/Midtown,Manhattan,5th Avenue,West 120th Street,West 110th Street,Protected Bike Lane,2020-06-25T00:00:00.000,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,ALL,Inactive,
The Hairy Lemon,Manhattan,Avenue B,East 2nd Street,East 3rd Street,Temporary Full Closure,2020-07-17T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,"F,S,U",inactive,
Maspeth,Queens,60th Street,Laurel Hill Boulevard,47th Avenue,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Woodside,Queens,60th Street,Queens Boulevard,43rd Avenue,Temporary Limited Local Access,2020-06-25T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
99 Favor Taste,Brooklyn,61st Street,7th Avenue,8th Avenue,Temporary Full Closure,2020-08-14T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,"F,S,U",Active,
Forest Hills,Queens,66th Road,110th Street,Grand Central Parkway,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Yellowstone Park,Queens,68th Road,108th Street,Yellowstone Boulevard,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Sunset Park,Brooklyn,6th Avenue,44th Street,51st Street,Temporary Limited Local Access,2020-05-14T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,Y
Fresh Air Fund,Brooklyn,6th Avenue,44th Street,45th Street,Open Streets Play,2020-07-24T00:00:00.000,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W,R",inactive,
Midtown Core,Manhattan,6th Avenue,West 59th Street,West 34th Street,Protected Bike Lane,2020-06-25T00:00:00.000,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,ALL,Inactive,
KC GOURMET EMPANADAS,Manhattan,Avenue B,East 3rd Street,East 4th Street,Temporary Full Closure,2020-07-31T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,"F,S,U",inactive,
Ozone Park,Queens,77th Street,Atlantic Avenue,101st Avenue,Temporary Limited Local Access,2020-06-25T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Midtown Core,Manhattan,7th Avenue,West 59th Street,West 47th Street,Protected Bike Lane,2020-06-25T00:00:00.000,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,ALL,Inactive,
Chinatown Business Improvement District,Manhattan,Bayard Street,Mott Street,Mulberry Street,Temporary Full Closure,2020-08-14T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,"F,S,U",inactive,
Rego Park,Queens,99th Street,Horace Harding,66th Avenue,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,Y
Meatpacking Business Improvement District,Manhattan,9th Avenue,West 14th Street,West 15th Street,Temporary Full Closure,2020-07-03T00:00:00.000,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,ALL,Active,
New Dorp Business Improvement District,Staten Island,9th Street,New Dorp Lane,Rose Avenue,Temporary Full Closure,2020-09-11T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7:00PM,11:00PM,6:00PM,11:00PM,6:00PM,11:00PM,"F,S,U",Active,
Bayside Village Business Improvement District,Queens,Bell Boulevard,38th Avenue,41st Avenue,Temporary Full Closure,2020-07-03T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:30PM,11:00PM,12:00PM,9:00PM,"S,U",Active,
34th Street Partnership,Manhattan,Broadway,West 32nd Street,West 31st Street,Temporary Full Closure,2020-08-14T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,10:00PM,12:00PM,10:00PM,12:00PM,10:00PM,"F,S,U",inactive,
West 111th Street Block Association,Manhattan,Amsterdam Avenue,West 110th Street,West 111th Street,Temporary Full Closure,2020-10-02T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7:00PM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,"F,S,U",Active,Y
Columbus Amsterdam Business Improvement District,Manhattan,Amsterdam Avenue,West 106th Street,West 110th Street,Temporary Full Closure,2020-11-17T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,8:30PM,11:00AM,8:30PM,"S,U",Active,
303 Canary LLC,Manhattan,Broome Street,Forsyth Street,Eldridge Street,Temporary Full Closure,2020-07-31T00:00:00.000,N/A,N/A,4:30PM,12:00AM,4:30PM,12:00AM,4:30PM,12:00AM,4:30PM,12:00AM,12:30PM,12:00AM,12:30PM,12:00AM,"T,R,W,F,S,U",Active,
Alliance for Downtown New York,Manhattan,Ann Street,Broadway,Nassau Street,Temporary Full Closure,2020-09-04T00:00:00.000,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,ALL,Active,
Bed Stuy Gateway Business Improvement District,Brooklyn,Arlington Place,Halsey Street,Fulton Street,Temporary Limited Local Access,2020-05-23T00:00:00.000,10:00AM,2:00PM,10:00AM,2:00PM,10:00AM,2:00PM,10:00AM,2:00PM,10:00AM,2:00PM,10:00AM,2:00PM,10:00AM,2:00PM,ALL,Active,
DUMBO Business Improvement District,Brooklyn,Dock Street,Front Street,Water Street,Temporary Full Closure,2020-07-03T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,"F,S,U",inactive,
Scarpetta Restaurant,Manhattan,East 29th Street,Madison Ave,5th Avenue,Temporary Full Closure,2020-08-28T00:00:00.000,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,ALL,inactive,
Frederick Douglass Boulevard Alliance,Manhattan,Frederick Douglass Boulevard,West 112th Street,West 120th Street,Temporary Full Closure,2020-08-28T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,10:00PM,12:00PM,10:00PM,12:00PM,9:00PM,"F,S,U",Active,
Atlantic Avenue Business Improvement District,Brooklyn,Hoyt Street,Pacific Street,State Street,Temporary Full Closure,2020-08-28T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,"F,S,U",inactive,
Loisaida Open Streets Community Coalition,Manhattan,Avenue B,East 6th Street,East 14th Street,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Atlantic Avenue Business Improvement District,Brooklyn,Hoyt Street,Pacific Street,Schermerhorn Street,Temporary Full Closure,2020-08-28T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,"F,S,U",inactive,Y
Kingsbridge-Riverdale-Van Cortlandt Development Corporation,Bronx,Johnson Avenue,West 235th Street,West 236th Street,Temporary Full Closure,2020-07-31T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:00PM,9:00PM,U,Inactive,
Meatpacking Business Improvement District,Manhattan,Little West 12th Street,9th Avenue,Washington Street,Temporary Full Closure,2020-07-03T00:00:00.000,3:00PM,11:00PM,3:00PM,11:00PM,3:00PM,11:00PM,3:00PM,11:00PM,3:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,ALL,inactive,
DUMBO Business Improvement District,Brooklyn,Main Street,Water Street,Plymouth Street,Temporary Full Closure,2020-06-11T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,9:00PM,11:00AM,9:00PM,11:00AM,9:00PM,"F,S,U",Active,
North Shore Esplande Park,Staten Island,Bank Street,Jersey Street,Parking Garage Driveway,Temporary Limited Local Access,2020-05-14T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Baisley Pond Park,Queens,Barron Street,116th Avenue,Foch Boulevard,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Asian American Federation,Queens,Barton Avenue,150th Street,149th Place,Temporary Limited Local Access,2020-10-02T00:00:00.000,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,11:00PM,9:00AM,11:00PM,9:00AM,9:00PM,ALL,Active,
The Angiuli Group,Staten Island,Minthorne Street,Bay Street,Victory Boulevard,Temporary Full Closure,2020-08-14T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:30PM,11:00PM,12:00PM,11:00PM,N/A,N/A,"F,S",Active,
Jewish Community Council of the Rockaway Peninsula,Queens,Beach 12th Street,Central Avenue,Dinsmore Avenue,Temporary Limited Local Access,2020-06-25T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8:00AM,8:00PM,N/A,N/A,S,Active,
Montague St Business Improvement District,Brooklyn,Montague Street,Clinton Street,Pierrepont Place,Temporary Full Closure,2020-07-31T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,10:00PM,12:00PM,10:00PM,12:00PM,10:00PM,"F,S,U",inactive,
North Brooklyn Open Streets Community Coalition,Brooklyn,Berry Street,North 12th Street,Broadway,Temporary Limited Local Access,2020-05-14T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Brownsville,Brooklyn,Blake Avenue,Rockaway Avenue,Powell Street,Temporary Limited Local Access,2020-06-25T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
East New York,Brooklyn,Blake Avenue,Miller Avenue,Hinsdale Street,Temporary Limited Local Access,2020-06-25T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Police Athletic League,Brooklyn,Blake Avenue,Powell Street,Mother Gaston Boulevard,Open Streets Play,2020-07-24T00:00:00.000,12:00PM,5:00PM,12:00PM,5:00PM,12:00PM,5:00PM,12:00PM,5:00PM,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W,R",inactive,
