Location or Partner,Borough,On Street,From Street,To Street,Type,Open Date,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Sunday_Start,Sunday_End,Day of Week,Status,Cool Streets
New York Korea Town Association,Manhattan,West 32nd Street,5th Avenue,Broadway,Temporary Full Closure,2020-07-31T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,"F,S,U",Active,
Astoria Park,Queens,Shore Boulevard,Ditmars Boulevard,Astoria Park South,Temporary Limited Local Access,2020-05-02T00:00:00.000,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,ALL,Active,
Garment District Alliance,Manhattan,West 36th Street,5th Avenue,6th Avenue,Temporary Full Closure,2020-08-28T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,9:00PM,"F,S,U",Inactive,
Midtown,Manhattan,West 38th Street,11th Avenue,5th Avenue,Protected Bike Lane,2020-05-14T00:00:00.000,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,ALL,Inactive,
Midtown,Manhattan,West 39th Street,11th Avenue,5th Avenue,Protected Bike Lane,2020-05-14T00:00:00.000,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,12:00AM,ALL,Inactive,
Crown Heights,Brooklyn,Troy Avenue,St. Johns Place,Eastern Parkway,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,inactive,
Claremont,Bronx,Washington Avenue,East 171st Street,East 169th Street,Temporary Limited Local Access,2020-06-25T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,inactive,
Times Square Alliance,Manhattan,West 46th Street,8th Avenue,9th Avenue,Temporary Limited Local Access,2020-06-25T00:00:00.000,4:00PM,8:00PM,4:00PM,8:00PM,4:00PM,8:00PM,4:00PM,8:00PM,4:00PM,8:00PM,4:00PM,8:00PM,4:00PM,8:00PM,ALL,inactive,
Times Square Alliance,Manhattan,West 46th Street,8th Avenue,9th Avenue,Temporary Full Closure,2020-07-03T00:00:00.000,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,ALL,Active,
Times Square Alliance,Manhattan,West 46th Street,6th Avenue,7th Avenue,Temporary Full Closure,2020-07-31T00:00:00.000,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,ALL,inactive,
Meatpacking Business Improvement District,Manhattan,West 13th Street,9th Avenue,Washington Street,Temporary Limited Local Access,2020-05-14T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,inactive,
Meatpacking Business Improvement District,Manhattan,West 17th Street,10th Avenue,8th Avenue,Temporary Limited Local Access,2020-05-14T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,inactive,
Hells Kitchen,Manhattan,West 44th Street,9th Avenue,10th Avenue,Temporary Limited Local Access,2020-06-25T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,inactive,
45th Street Block Association,Manhattan,West 45th Street,9th Avenue,10th Avenue,Temporary Limited Local Access,2020-10-02T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Inactive,
Red Hook Initiative,Brooklyn,West 9th Street,Henry Street,Hicks Street,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,N/A,N/A,"M,T,W,R,F,S",Active,
Hells Kitchen,Manhattan,West 51st Street,10th Avenue,9th Avenue,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,inactive,
Forest Park,Queens,West Main Drive,Band Shell Lot,Golf Course Lot,Temporary Full Closure,2020-05-02T00:00:00.000,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,ALL,Active,
Upper West Side,Manhattan,West 75th Street,Broadway,Riverside Drive,Temporary Limited Local Access,2020-05-14T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,inactive,
Brownsville,Brooklyn,Williams Avenue,Liberty Avenue,Atlantic Avenue,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Upper West Side,Manhattan,West End Avenue,West 87th Street,West 96th Street,Temporary Limited Local Access,2020-05-14T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,inactive,
Brooklyn Greenway Initiative,Brooklyn,West Street,Quay Street,Greenpoint Avenue,Temporary Limited Local Access,2020-06-25T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:00AM,6:00PM,10:00AM,6:00PM,"S,U",inactive,
Fort Greene,Brooklyn,Willoughby Avenue,Washington Park Street,Hall Street,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Third Avenue Business Improvement District,Bronx,Willis Avenue,East 147th Street,East 148th Street,Temporary Limited Local Access,2020-05-07T00:00:00.000,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",inactive,
Downtown Brooklyn Partnership,Brooklyn,Willoughby Street,Pearl Street,Jay Street,Temporary Limited Local Access,2020-05-07T00:00:00.000,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,ALL,Active,
Downtown Brooklyn Partnership,Brooklyn,Willoughby Street,Pearl Street,Lawrence Street,Temporary Limited Local Access,2020-05-07T00:00:00.000,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,ALL,inactive,
Willowtown Association,Brooklyn,Willow Place,Joralemon Street,State Street,Temporary Limited Local Access,2020-05-24T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Brooklyn Heights,Brooklyn,Willow Street,Middagh Street,Pierrepont Street,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Good Shepard Services,Brooklyn,Wolcott Street,Conover Street,Van Brunt Street,Temporary Limited Local Access,2020-07-24T00:00:00.000,N/A,N/A,10:00AM,3:00PM,N/A,N/A,10:00AM,3:00PM,N/A,N/A,N/A,N/A,N/A,N/A,"T,R",Active,
Downtown Brooklyn Partnership,Brooklyn,Willoughby Street,Lawrence Street,Flatbush Avenue Extension,Temporary Limited Local Access,2020-06-25T00:00:00.000,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,ALL,inactive,
39th Avenue Open Streets Coalition,Queens,Woodside Avenue,39th Avenue,39th Avenue,Temporary Limited Local Access,2020-05-14T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,inactive,
Central Family Life Center,Staten Island,Wright Street,Canal Street,Thompson Street,Open Streets Play,2020-07-24T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:00PM,4:00PM,N/A,N/A,N/A,N/A,F,inactive,Y
Nicholas Naquan Heyward Park,Brooklyn,Wyckoff Street,Bond Street,Hoyt Street,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,inactive,
Boerum Hill,Brooklyn,Wyckoff Street,Nevins Street,3rd Avenue,Temporary Limited Local Access,2020-06-25T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,inactive,
Allerton,Bronx,Yates Avenue,Burke Avenue,Adee Avenue,Temporary Limited Local Access,2020-06-25T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Jadis,Manhattan,Rivington Street,Eldridge Street,Forsyth Street,Temporary Limited Local Access,2021-03-13T00:00:00.000,4:00PM,11:00PM,4:00PM,11:00PM,4:00PM,11:00PM,4:00PM,11:00PM,4:00PM,11:00PM,3:00PM,12:00AM,3:00PM,12:00AM,ALL,Active,
Sunset Park Business Improvement District,Brooklyn,5th Avenue,39th Street,42nd Street,Temporary Full Closure,2021-05-01T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:00PM,11:00PM,N/A,N/A,S,Active,
Sunset Park Business Improvement District,Brooklyn,5th Avenue,55th Street,59th Street,Temporary Full Closure,2021-05-01T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:00PM,11:00PM,N/A,N/A,S,Inactive,
Meatpacking Business Improvement District,Manhattan,Little West 12th Street,9th Avenue,Washington Street,Mix of Two Types,2021-04-02T00:00:00.000,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,ALL,Active,
Meatpacking Business Improvement District,Manhattan,West 13th Street,9th Avenue,Washington Street,Mix of Two Types,2021-04-02T00:00:00.000,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,ALL,Active,
Meatpacking Business Improvement District,Manhattan,Gansevoort Street,9th Avenue,Washington Street,Mix of Two Types,2021-04-02T00:00:00.000,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,ALL,Active,
Atlantic Avenue Business Improvement District,Brooklyn,Hoyt Street,Atlantic Avenue,Schermerhorn Street,Temporary Full Closure,2020-08-28T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,"F,S,U",Active,Y
Park Slope 5th Avenue Business Improvement District,Brooklyn,5th Avenue,15th Street,16th Street,Temporary Full Closure,2021-05-01T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,10:30PM,11:00AM,10:00PM,"S,U",Active,
Columbus Amsterdam Business Improvement District,Manhattan,Amsterdam Avenue,West 96th Street,West 106th Street,Temporary Full Closure,2021-05-02T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,8:30PM,U,Active,
Mad Morton,Manhattan,Morton Street,7th Avenue South,Bleecker Street,Temporary Full Closure,2021-05-06T00:00:00.000,4:30PM,12:00AM,4:30PM,12:00AM,4:30PM,12:00AM,4:30PM,12:00AM,4:30PM,12:00AM,12:00PM,12:00AM,12:00PM,12:00AM,ALL,Active,
Bridge Street Development Corp.,Brooklyn,Tompkins Avenue,Gates Avenue,Halsey Street,Temporary Full Closure,2021-05-09T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:00AM,8:00PM,U,Active,
The Gowanus Dredgers Canoe Club,Brooklyn,2nd Street,Bond Street,Dead End,Temporary Limited Local Access,2021-05-11T00:00:00.000,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,9:00PM,10:00AM,9:00PM,10:00AM,9:00PM,"M,T,W,R,F,S,U",Active,
Fourth Arts Block (FABnyc),Manhattan,East 4th Street,Bowery,2nd Avenue,Temporary Full Closure,2021-05-20T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,4:00PM,9:00PM,N/A,N/A,N/A,N/A,N/A,N/A,R,Active,
Sonnyboy,Manhattan,Rivington Street,Allen Street,Eldridge Street,Temporary Full Closure,2021-05-14T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,6:00PM,10:45PM,6:00PM,11:45PM,10:00AM,11:45PM,10:00AM,10:45PM,"R,F,S,U",Active,
Columbus Amsterdam Business Improvement District,Manhattan,Columbus Avenue,West 106th Street,West 110th Street,Temporary Full Closure,2021-05-15T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,8:30PM,11:00AM,8:30PM,"S,U",Active,
120 Marcus Meets Malcolm,Manhattan,West 120th Street,Lenox Avenue,Mount Morris Park West,Temporary Limited Local Access,2021-05-17T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,10:00PM,8:00AM,10:00PM,8:00AM,8:00PM,ALL,Active,
Boerum Hill Association,Brooklyn,Wyckoff Street,Hoyt Street,4th Avenue,Temporary Limited Local Access,2021-05-26T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,"F,S,U",Active,
Blissville Civic Association,Queens,37th Street,Starr Avenue,Bradley Avenue,Temporary Limited Local Access,2021-05-29T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:00AM,8:00PM,10:00AM,8:00PM,"S,U",Active,
Greenwich Village Chelsea Chamber of Commerce,Manhattan,Bleecker Street,Bank Street,7th Avenue South,Temporary Full Closure,2021-06-05T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:00AM,8:00PM,10:00AM,7:00PM,"S,U",inactive,
Union Square Café,Manhattan,East 19th Street,Irving Place,Park Avenue South,Temporary Full Closure,2021-06-11T00:00:00.000,11:00AM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,ALL,Active,
Van Duzer Civic Association,Staten Island,Van Duzer Street,Beach Street,Wright Street,Temporary Full Closure,2021-06-21T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,5:00PM,N/A,N/A,S,Active,
Decatur Howard Saratoga Block Association President,Brooklyn,Decatur Street,Howard Avenue,Saratoga Avenue,Temporary Limited Local Access,2021-06-11T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8:00AM,8:00PM,8:00AM,8:00PM,N/A,N/A,"S,U",Active,
Fresh Air Fund,Bronx,East 144th Street,Jackson Avenue,Concord Avenue,Temporary Limited Local Access,2021-07-05T00:00:00.000,8:00AM,5:00PM,8:00AM,5:00PM,8:00AM,5:00PM,8:00AM,5:00PM,8:00AM,5:00PM,N/A,N/A,N/A,N/A,"M,T,R,W,F",Active,
1717 East 18th Street Owners Corporation,Brooklyn,East 18th Street,Quentin Road,Avenue R,Temporary Limited Local Access,2021-06-26T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:00PM,8:00PM,12:00PM,8:00PM,"S,U",Active,
17th Street Block Association,Brooklyn,Calder Place,Prospect Ave,17th Street,Temporary Limited Local Access,2021-06-19T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:00AM,8:00PM,10:00AM,8:00PM,"S,U",Active,
17th Street Block Association,Brooklyn,17th Street,Calder Place,Prospect Park West,Temporary Limited Local Access,2021-06-19T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:00AM,8:00PM,10:00AM,8:00PM,"S,U",Active,
Musket Hospitality LLC,Manhattan,Elizabeth Street,Prince Street,East Houston Street,Temporary Full Closure,2021-06-29T00:00:00.000,N/A,N/A,4:30PM,12:00AM,4:30PM,12:00AM,4:30PM,12:00AM,4:30PM,12:00AM,10:00AM,12:00AM,10:00AM,11:00PM,"T,W,R,F,S,U",Active,
Ernesto's NYC,Manhattan,Montgomery Street,East Broadway,Henry Street,Temporary Full Closure,2021-07-02T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:00AM,12:00AM,10:00AM,12:00AM,10:00AM,12:00AM,"F,S,U",Active,
Henry Street Settlement,Manhattan,East 6th Street,Avenue D,FDR Drive Service Road,Temporary Full Closure,2021-07-07T00:00:00.000,N/A,N/A,N/A,N/A,10:00AM,4:00PM,N/A,N/A,10:00AM,4:00PM,N/A,N/A,N/A,N/A,"W,F",inactive,
Downtown Brooklyn Partnership,Brooklyn,Rockwell Place,Dekalb Avenue,Fulton Street,Temporary Full Closure,2021-07-01T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,12:00AM,5:00PM,12:00AM,5:00PM,12:00AM,N/A,N/A,"R,F,S",Active,
Caldwell Enrichment Programs,Bronx,Jennings Street,Chisholm Street,Prospect Avenue,Temporary Full Closure,2021-07-06T00:00:00.000,11:00AM,7:00PM,11:00AM,7:00PM,11:00AM,7:00PM,11:00AM,7:00PM,11:00AM,7:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",Active,
Poppa & Momma Jones' Historic Community Garden,Brooklyn,Van Siclen Avenue,Pitkin Avenue,Glenmore Avenue,Temporary Limited Local Access,2021-07-06T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,12:00PM,3:00PM,12:00PM,3:00PM,12:00PM,3:00PM,N/A,N/A,"R,F,S",inactive,
Fresh Air Fund,Bronx,Rockwood Street,Grand Concourse,Walton Avenue,Temporary Full Closure,2021-07-06T00:00:00.000,8:00AM,5:00PM,8:00AM,5:00PM,8:00AM,5:00PM,8:00AM,5:00PM,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W,R",Active,
Fresh Air Fund,Bronx,Stickball Boulevard,Seward Avenue,Randall Avenue,Temporary Full Closure,2021-07-06T00:00:00.000,8:00AM,5:00PM,8:00AM,5:00PM,8:00AM,5:00PM,8:00AM,5:00PM,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W,R",Active,
Fresh Air Fund,Brooklyn,Prospect Place,New York Avenue,Brooklyn Avenue,Temporary Full Closure,2021-07-06T00:00:00.000,8:00AM,5:00PM,8:00AM,5:00PM,8:00AM,5:00PM,8:00AM,5:00PM,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W,R",Active,
Fresh Air Fund,Brooklyn,6th Avenue,44th Street,45th Street,Temporary Full Closure,2021-07-06T00:00:00.000,8:00AM,5:00PM,8:00AM,5:00PM,8:00AM,5:00PM,8:00AM,5:00PM,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W,R",Active,
Fresh Air Fund,Brooklyn,Dumont Avenue,Thomas S Boyland Street,Strauss Street,Temporary Full Closure,2021-07-06T00:00:00.000,8:00AM,5:00PM,8:00AM,5:00PM,8:00AM,5:00PM,8:00AM,5:00PM,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W,R",inactive,
Fresh Air Fund,Manhattan,East 104th Street,Second Avenue,Third Avenue,Temporary Full Closure,2021-07-06T00:00:00.000,8:00AM,5:00PM,8:00AM,5:00PM,8:00AM,5:00PM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W",Active,
Fresh Air Fund,Manhattan,Audubon Avenue,West 188th Street,W 189th Street,Temporary Full Closure,2021-07-06T00:00:00.000,8:00AM,5:00PM,8:00AM,5:00PM,8:00AM,5:00PM,8:00AM,5:00PM,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W,R",inactive,
Fresh Air Fund,Queens,34th Avenue,72nd Street,73rd Street,Temporary Full Closure,2021-07-06T00:00:00.000,8:00AM,5:00PM,8:00AM,5:00PM,8:00AM,5:00PM,8:00AM,5:00PM,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W,R",Active,
Fresh Air Fund,Queens,34th Avenue,92nd Street,93rd Street,Temporary Full Closure,2021-07-06T00:00:00.000,8:00AM,5:00PM,8:00AM,5:00PM,8:00AM,5:00PM,8:00AM,5:00PM,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W,R",Active,
Connectemos,Manhattan,Audubon Avenue,W 187th Street,W 188th Street,Temporary Full Closure,2021-07-06T00:00:00.000,12:00PM,5:00PM,12:00PM,5:00PM,12:00PM,5:00PM,12:00PM,5:00PM,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W,R",inactive,
Community League of the Heights,Manhattan,West 159th Street,Broadway,Edgecombe Avenue,Temporary Full Closure,2021-07-06T00:00:00.000,8:30AM,6:00PM,8:30AM,6:00PM,8:30AM,6:00PM,8:30AM,6:00PM,8:30AM,6:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",Active,
Community League of the Heights,Manhattan,West 161st Street,Riverside Drive,Fort Washington Avenue,Temporary Full Closure,2021-07-06T00:00:00.000,8:30AM,6:00PM,8:30AM,6:00PM,8:30AM,6:00PM,8:30AM,6:00PM,8:30AM,6:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",Active,
Community League of the Heights,Manhattan,West 164th Street,Saint Nicholas Avenue,Edgecombe Avenue,Temporary Full Closure,2021-07-06T00:00:00.000,8:30AM,6:00PM,8:30AM,6:00PM,8:30AM,6:00PM,8:30AM,6:00PM,8:30AM,6:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",Active,
Merchants of Third Avenue,Brooklyn,Third Avenue,68th Street,83rd Street,Temporary Full Closure,2021-07-16T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:30PM,10:30PM,N/A,N/A,N/A,N/A,F,Active,
Merchants of Third Avenue,Brooklyn,Third Avenue,83rd Street,Marine Avenue,Temporary Full Closure,2021-07-09T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:30PM,10:30PM,N/A,N/A,N/A,N/A,F,Active,
"Brooklyn New School, PS 146",Brooklyn,Rapelye Street,Hicks Street,Henry Street,Temporary Full Closure,2021-07-06T00:00:00.000,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",Active,
West Side Montessori School,Manhattan,West 92nd Street,Riverside Drive,West End Avenue,Temporary Full Closure,2021-07-06T00:00:00.000,8:00AM,4:00PM,8:00AM,4:00PM,8:00AM,4:00PM,8:00AM,4:00PM,8:00AM,4:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",Active,
The Washington Market School,Manhattan,Staple Street,Duane Street,Jay Street,Temporary Full Closure,2021-07-06T00:00:00.000,9:00AM,2:30PM,9:00AM,2:30PM,9:00AM,2:30PM,9:00AM,2:30PM,9:00AM,2:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",Active,
MS363: The Academy for Personal Leadership and Excellenc,Bronx,Field Place,Morris Avenue,Creston Avenue,Temporary Full Closure,2021-07-12T00:00:00.000,7:00AM,6:00PM,7:00AM,6:00PM,7:00AM,6:00PM,7:00AM,6:00PM,7:00AM,6:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",Active,
Community League of the Heights,Manhattan,Academy Street,Vermilyea Avenue,Broadway,Temporary Full Closure,2021-07-21T00:00:00.000,8:30AM,6:00PM,8:30AM,6:00PM,8:30AM,6:00PM,8:30AM,6:00PM,8:30AM,6:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",Active,
NYPD 44th Precinct,Bronx,Findlay Avenue,E 166th Street,E 167th Street,Temporary Full Closure,2021-07-28T00:00:00.000,9:00AM,3:00PM,9:00AM,3:00PM,9:00AM,3:00PM,9:00AM,3:00PM,9:00AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",Active,
